cls,fpr,tpr,auc
N,0.028718703976435934,0.4866503201198747,0.879125540329139
N,0.02890279823269514,0.48717250147572994,0.879125540329139
N,0.029086892488954345,0.4873995368478409,0.879125540329139
N,0.02927098674521355,0.4890341915270399,0.879125540329139
N,0.029639175257731958,0.4910775098760387,0.879125540329139
N,0.029823269513991165,0.49159969123189395,0.879125540329139
N,0.030191458026509573,0.49291649639013757,0.879125540329139
N,0.030191458026509573,0.4936657131181038,0.879125540329139
N,0.03055964653902798,0.4938019343413704,0.879125540329139
N,0.030743740795287185,0.4955955137810471,0.879125540329139
N,0.030743740795287185,0.4974117967579349,0.879125540329139
N,0.030927835051546393,0.4989556372882895,0.879125540329139
N,0.031111929307805597,0.4996140398674113,0.879125540329139
N,0.031480117820324005,0.5035644553421423,0.879125540329139
N,0.03166421207658321,0.505358034781819,0.879125540329139
N,0.03184830633284241,0.5063796939563184,0.879125540329139
N,0.03203240058910162,0.5079008309494619,0.879125540329139
N,0.03221649484536082,0.5130091268219589,0.879125540329139
N,0.03240058910162003,0.5131226445080144,0.879125540329139
N,0.032584683357879236,0.5156654406756572,0.879125540329139
N,0.03276877761413844,0.517913090859556,0.879125540329139
N,0.03276877761413844,0.5209326613086319,0.879125540329139
N,0.03313696612665685,0.5218408027970758,0.879125540329139
N,0.03332106038291605,0.5237251963855969,0.879125540329139
N,0.03368924889543446,0.5244063025019298,0.879125540329139
N,0.033873343151693665,0.5292421559278936,0.879125540329139
N,0.03424153166421208,0.5298551514325932,0.879125540329139
N,0.034425625920471284,0.5304000363256596,0.879125540329139
N,0.03460972017673049,0.5317395450211143,0.879125540329139
N,0.03479381443298969,0.533079053716569,0.879125540329139
N,0.0351620029455081,0.5331017572537802,0.879125540329139
N,0.035346097201767304,0.5352585932888344,0.879125540329139
N,0.03571428571428571,0.5354402215865232,0.879125540329139
N,0.035898379970544916,0.5357126640330564,0.879125540329139
N,0.03626656848306333,0.5361213277028561,0.879125540329139
N,0.036450662739322535,0.5387549380193434,0.879125540329139
N,0.036818851251840944,0.5396630795077874,0.879125540329139
N,0.03700294550810015,0.5400036325659537,0.879125540329139
N,0.037371134020618556,0.5406847386822867,0.879125540329139
N,0.03755522827687776,0.5455432956454616,0.879125540329139
N,0.03792341678939617,0.5457022204059393,0.879125540329139
N,0.03810751104565538,0.5460881805385279,0.879125540329139
N,0.03829160530191458,0.5471098397130273,0.879125540329139
N,0.03865979381443299,0.5477228352177269,0.879125540329139
N,0.038843888070692195,0.5489261226899151,0.879125540329139
N,0.0392120765832106,0.549380193434137,0.879125540329139
N,0.0392120765832106,0.5523089497343686,0.879125540329139
N,0.03958026509572901,0.5535803478181901,0.879125540329139
N,0.039764359351988215,0.5548744494392226,0.879125540329139
N,0.04013254786450663,0.5551241883485447,0.879125540329139
N,0.040316642120765835,0.5565091041184217,0.879125540329139
N,0.04068483063328424,0.5583934977069427,0.879125540329139
N,0.04086892488954345,0.561957953049085,0.879125540329139
N,0.04142120765832106,0.5620941742723516,0.879125540329139
N,0.04142120765832106,0.5622530990328293,0.879125540329139
N,0.04178939617083947,0.5623893202560959,0.879125540329139
N,0.04197349042709867,0.5627298733142624,0.879125540329139
N,0.042341678939617086,0.5627979839258956,0.879125540329139
N,0.04252577319587629,0.563342868818962,0.879125540329139
N,0.0428939617083947,0.5636380148027063,0.879125540329139
N,0.0430780559646539,0.5659310720610271,0.879125540329139
N,0.04344624447717231,0.5662035145075602,0.879125540329139
N,0.043630338733431515,0.5679743904100258,0.879125540329139
N,0.04399852724594993,0.5684057576170367,0.879125540329139
N,0.044182621502209134,0.5694728238659583,0.879125540329139
N,0.04436671575846834,0.569858783998547,0.879125540329139
N,0.04455081001472754,0.5701085229078691,0.879125540329139
N,0.04491899852724595,0.5705171865776688,0.879125540329139
N,0.045103092783505154,0.5715615492893793,0.879125540329139
N,0.04547128129602356,0.5719475094219679,0.879125540329139
N,0.045655375552282766,0.5723334695545566,0.879125540329139
N,0.04583946980854197,0.5737864959360668,0.879125540329139
N,0.046207658321060385,0.5739454206965445,0.879125540329139
N,0.04639175257731959,0.5766925486990874,0.879125540329139
N,0.046759941089838,0.5768287699223539,0.879125540329139
N,0.0469440353460972,0.5787812741225082,0.879125540329139
N,0.04731222385861561,0.5788720882713527,0.879125540329139
N,0.047496318114874814,0.5800072651319076,0.879125540329139
N,0.04786450662739323,0.5806202606366072,0.879125540329139
N,0.04804860088365243,0.581028924306407,0.879125540329139
N,0.04841678939617084,0.5812105526040957,0.879125540329139
N,0.048600883652430045,0.5824819506879172,0.879125540329139
